
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.48259E+04  -2.07841E+04
   9.99999E-03   4.90680E+04  -2.06791E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.03863E-02   5.29048E+04  -2.07360E+04
   2.03853E-02   5.29045E+04  -2.07360E+04
   2.03843E-02   5.29042E+04  -2.07360E+04
   2.03833E-02   5.29040E+04  -2.07360E+04
   2.03823E-02   5.29037E+04  -2.07360E+04
   2.03813E-02   5.29034E+04  -2.07360E+04
   2.03803E-02   5.29032E+04  -2.07360E+04
   2.03793E-02   5.29029E+04  -2.07360E+04
   2.03783E-02   5.29026E+04  -2.07360E+04
   2.03773E-02   5.29024E+04  -2.07360E+04
   2.03763E-02   5.29021E+04  -2.07360E+04
   2.03753E-02   5.29018E+04  -2.07360E+04
   2.03743E-02   5.29016E+04  -2.07360E+04
   2.03733E-02   5.29013E+04  -2.07360E+04
   2.03723E-02   5.29010E+04  -2.07360E+04
   2.03713E-02   5.29007E+04  -2.07360E+04
   2.03703E-02   5.29005E+04  -2.07359E+04
   2.03693E-02   5.29002E+04  -2.07359E+04
   2.03683E-02   5.28999E+04  -2.07359E+04
   2.03673E-02   5.28997E+04  -2.07359E+04
   2.03663E-02   5.28994E+04  -2.07359E+04
   2.03653E-02   5.28991E+04  -2.07359E+04
   2.03643E-02   5.28989E+04  -2.07359E+04
   2.03633E-02   5.28986E+04  -2.07359E+04
   2.03623E-02   5.28983E+04  -2.07359E+04
   2.03613E-02   5.28981E+04  -2.07359E+04
   2.03603E-02   5.28978E+04  -2.07359E+04
   2.03593E-02   5.28975E+04  -2.07359E+04
   2.03583E-02   5.28973E+04  -2.07359E+04
   2.03573E-02   5.28970E+04  -2.07359E+04
   2.03563E-02   5.28967E+04  -2.07359E+04
   2.03553E-02   5.28964E+04  -2.07359E+04
   2.03543E-02   5.28962E+04  -2.07359E+04
   2.03533E-02   5.28959E+04  -2.07359E+04
   2.03523E-02   5.28956E+04  -2.07358E+04
   2.03513E-02   5.28954E+04  -2.07358E+04
   2.03503E-02   5.28951E+04  -2.07358E+04
   2.03493E-02   5.28948E+04  -2.07358E+04
   2.03483E-02   5.28946E+04  -2.07358E+04
   2.03473E-02   5.28943E+04  -2.07358E+04
   2.03463E-02   5.28940E+04  -2.07358E+04
   2.03453E-02   5.28938E+04  -2.07358E+04
   2.03443E-02   5.28935E+04  -2.07358E+04
   2.03433E-02   5.28932E+04  -2.07358E+04
   2.03423E-02   5.28930E+04  -2.07358E+04
   2.03413E-02   5.28927E+04  -2.07358E+04
   2.03403E-02   5.28924E+04  -2.07358E+04
   2.03393E-02   5.28921E+04  -2.07358E+04
   2.03383E-02   5.28919E+04  -2.07358E+04
   2.03373E-02   5.28916E+04  -2.07358E+04
   2.03363E-02   5.28913E+04  -2.07358E+04
   2.03353E-02   5.28911E+04  -2.07358E+04
   2.03343E-02   5.28908E+04  -2.07357E+04
   2.03333E-02   5.28905E+04  -2.07357E+04
   2.03323E-02   5.28903E+04  -2.07357E+04
   2.03313E-02   5.28900E+04  -2.07357E+04
   2.03303E-02   5.28897E+04  -2.07357E+04
   2.03293E-02   5.28895E+04  -2.07357E+04
   2.03283E-02   5.28892E+04  -2.07357E+04
   2.03273E-02   5.28889E+04  -2.07357E+04
   2.03263E-02   5.28886E+04  -2.07357E+04
   2.03253E-02   5.28884E+04  -2.07357E+04
   2.03243E-02   5.28881E+04  -2.07357E+04
   2.03233E-02   5.28878E+04  -2.07357E+04
   2.03223E-02   5.28876E+04  -2.07357E+04
   2.03213E-02   5.28873E+04  -2.07357E+04
   2.03203E-02   5.28870E+04  -2.07357E+04
   2.03193E-02   5.28868E+04  -2.07357E+04
   2.03183E-02   5.28865E+04  -2.07357E+04
   2.03173E-02   5.28862E+04  -2.07357E+04
   2.03163E-02   5.28860E+04  -2.07356E+04
   2.03153E-02   5.28857E+04  -2.07356E+04
   2.03143E-02   5.28854E+04  -2.07356E+04
   2.03133E-02   5.28851E+04  -2.07356E+04
   2.03123E-02   5.28849E+04  -2.07356E+04
   2.03113E-02   5.28846E+04  -2.07356E+04
   2.03103E-02   5.28843E+04  -2.07356E+04
   2.03093E-02   5.28841E+04  -2.07356E+04
   2.03083E-02   5.28838E+04  -2.07356E+04
   2.03073E-02   5.28835E+04  -2.07356E+04
   2.03063E-02   5.28833E+04  -2.07356E+04
   2.03053E-02   5.28830E+04  -2.07356E+04
   2.03043E-02   5.28827E+04  -2.07356E+04
   2.03033E-02   5.28825E+04  -2.07356E+04
   2.03023E-02   5.28822E+04  -2.07356E+04
   2.03013E-02   5.28819E+04  -2.07356E+04
   2.03003E-02   5.28816E+04  -2.07356E+04
   2.02993E-02   5.28814E+04  -2.07356E+04
   2.02983E-02   5.28811E+04  -2.07355E+04
   2.02973E-02   5.28808E+04  -2.07355E+04
   2.02963E-02   5.28806E+04  -2.07355E+04
   2.02953E-02   5.28803E+04  -2.07355E+04
   2.02943E-02   5.28800E+04  -2.07355E+04
   2.02933E-02   5.28798E+04  -2.07355E+04
   2.02923E-02   5.28795E+04  -2.07355E+04
   2.02913E-02   5.28792E+04  -2.07355E+04
   2.02903E-02   5.28790E+04  -2.07355E+04
   2.02893E-02   5.28787E+04  -2.07355E+04
   2.02883E-02   5.28784E+04  -2.07355E+04
   2.02873E-02   5.28781E+04  -2.07355E+04
   2.02863E-02   5.28779E+04  -2.07355E+04
   2.02853E-02   5.28776E+04  -2.07355E+04
   2.02843E-02   5.28773E+04  -2.07355E+04
   2.02833E-02   5.28771E+04  -2.07355E+04
   2.02823E-02   5.28768E+04  -2.07355E+04
   2.02813E-02   5.28765E+04  -2.07355E+04
   2.02803E-02   5.28763E+04  -2.07354E+04
   2.02793E-02   5.28760E+04  -2.07354E+04
   2.02783E-02   5.28757E+04  -2.07354E+04
   2.02773E-02   5.28754E+04  -2.07354E+04
   2.02763E-02   5.28752E+04  -2.07354E+04
   2.02753E-02   5.28749E+04  -2.07354E+04
   2.02743E-02   5.28746E+04  -2.07354E+04
   2.02733E-02   5.28744E+04  -2.07354E+04
   2.02723E-02   5.28741E+04  -2.07354E+04
   2.02713E-02   5.28738E+04  -2.07354E+04
   2.02703E-02   5.28736E+04  -2.07354E+04
   2.02693E-02   5.28733E+04  -2.07354E+04
   2.02683E-02   5.28730E+04  -2.07354E+04
   2.02673E-02   5.28727E+04  -2.07354E+04
   2.02663E-02   5.28725E+04  -2.07354E+04
   2.02653E-02   5.28722E+04  -2.07354E+04
   2.02643E-02   5.28719E+04  -2.07354E+04
   2.02633E-02   5.28717E+04  -2.07354E+04
   2.02623E-02   5.28714E+04  -2.07353E+04
   2.02613E-02   5.28711E+04  -2.07353E+04
   2.02603E-02   5.28709E+04  -2.07353E+04
   2.02593E-02   5.28706E+04  -2.07353E+04
   2.02583E-02   5.28703E+04  -2.07353E+04
   2.02573E-02   5.28700E+04  -2.07353E+04
   2.02563E-02   5.28698E+04  -2.07353E+04
   2.02553E-02   5.28695E+04  -2.07353E+04
   2.02543E-02   5.28692E+04  -2.07353E+04
   2.02533E-02   5.28690E+04  -2.07353E+04
   2.02523E-02   5.28687E+04  -2.07353E+04
   2.02513E-02   5.28684E+04  -2.07353E+04
   2.02503E-02   5.28682E+04  -2.07353E+04
   2.02493E-02   5.28679E+04  -2.07353E+04
   2.02483E-02   5.28676E+04  -2.07353E+04
   2.02473E-02   5.28673E+04  -2.07353E+04
   2.02463E-02   5.28671E+04  -2.07353E+04
   2.02453E-02   5.28668E+04  -2.07352E+04
   2.02443E-02   5.28665E+04  -2.07352E+04
   2.02433E-02   5.28663E+04  -2.07352E+04
   2.02423E-02   5.28660E+04  -2.07352E+04
   2.02413E-02   5.28657E+04  -2.07352E+04
   2.02403E-02   5.28655E+04  -2.07352E+04
   2.02393E-02   5.28652E+04  -2.07352E+04
   2.02383E-02   5.28649E+04  -2.07352E+04
   2.02373E-02   5.28646E+04  -2.07352E+04
   2.02363E-02   5.28644E+04  -2.07352E+04
   2.02353E-02   5.28641E+04  -2.07352E+04
   2.02343E-02   5.28638E+04  -2.07352E+04
   2.02333E-02   5.28636E+04  -2.07352E+04
   2.02323E-02   5.28633E+04  -2.07352E+04
   2.02313E-02   5.28630E+04  -2.07352E+04
   2.02303E-02   5.28628E+04  -2.07352E+04
   2.02293E-02   5.28625E+04  -2.07352E+04
   2.02283E-02   5.28622E+04  -2.07352E+04
   2.02273E-02   5.28619E+04  -2.07351E+04
   2.02263E-02   5.28617E+04  -2.07351E+04
   2.02253E-02   5.28614E+04  -2.07351E+04
   2.02243E-02   5.28611E+04  -2.07351E+04
   2.02233E-02   5.28609E+04  -2.07351E+04
   2.02223E-02   5.28606E+04  -2.07351E+04
   2.02213E-02   5.28603E+04  -2.07351E+04
   2.02203E-02   5.28601E+04  -2.07351E+04
   2.02193E-02   5.28598E+04  -2.07351E+04
   2.02183E-02   5.28595E+04  -2.07351E+04
   2.02173E-02   5.28592E+04  -2.07351E+04
   2.02163E-02   5.28590E+04  -2.07351E+04
   2.02153E-02   5.28587E+04  -2.07351E+04
   2.02143E-02   5.28584E+04  -2.07351E+04
   2.02133E-02   5.28582E+04  -2.07351E+04
   2.02123E-02   5.28579E+04  -2.07351E+04
   2.02113E-02   5.28576E+04  -2.07351E+04
   2.02103E-02   5.28573E+04  -2.07351E+04
   2.02093E-02   5.28571E+04  -2.07350E+04
   2.02083E-02   5.28568E+04  -2.07350E+04
   2.02073E-02   5.28565E+04  -2.07350E+04
   2.02063E-02   5.28563E+04  -2.07350E+04
   2.02053E-02   5.28560E+04  -2.07350E+04
   2.02043E-02   5.28557E+04  -2.07350E+04
   2.02033E-02   5.28555E+04  -2.07350E+04
   2.02023E-02   5.28552E+04  -2.07350E+04
   2.02013E-02   5.28549E+04  -2.07350E+04
   2.02003E-02   5.28546E+04  -2.07350E+04
   2.01993E-02   5.28544E+04  -2.07350E+04
   2.01983E-02   5.28541E+04  -2.07350E+04
   2.01973E-02   5.28538E+04  -2.07350E+04
   2.01963E-02   5.28536E+04  -2.07350E+04
   2.01953E-02   5.28533E+04  -2.07350E+04
   2.01943E-02   5.28530E+04  -2.07350E+04
   2.01933E-02   5.28527E+04  -2.07350E+04
   2.01923E-02   5.28525E+04  -2.07350E+04
   2.01913E-02   5.28522E+04  -2.07349E+04
   2.01903E-02   5.28519E+04  -2.07349E+04
   2.01893E-02   5.28517E+04  -2.07349E+04
   2.01883E-02   5.28514E+04  -2.07349E+04
   2.01873E-02   5.28511E+04  -2.07349E+04
   2.01863E-02   5.28508E+04  -2.07349E+04
   2.01853E-02   5.28506E+04  -2.07349E+04
   2.01843E-02   5.28503E+04  -2.07349E+04
   2.01833E-02   5.28500E+04  -2.07349E+04
   2.01823E-02   5.28498E+04  -2.07349E+04
   2.01813E-02   5.28495E+04  -2.07349E+04
   2.01803E-02   5.28492E+04  -2.07349E+04
   2.01793E-02   5.28490E+04  -2.07349E+04
   2.01783E-02   5.28487E+04  -2.07349E+04
   2.01773E-02   5.28484E+04  -2.07349E+04
   2.01763E-02   5.28481E+04  -2.07349E+04
   2.01753E-02   5.28479E+04  -2.07349E+04
   2.01743E-02   5.28476E+04  -2.07349E+04
   2.01733E-02   5.28473E+04  -2.07348E+04
   2.01723E-02   5.28471E+04  -2.07348E+04
   2.01713E-02   5.28468E+04  -2.07348E+04
   2.01703E-02   5.28465E+04  -2.07348E+04
   2.01693E-02   5.28462E+04  -2.07348E+04
   2.01683E-02   5.28460E+04  -2.07348E+04
   2.01673E-02   5.28457E+04  -2.07348E+04
   2.01663E-02   5.28454E+04  -2.07348E+04
   2.01653E-02   5.28452E+04  -2.07348E+04
   2.01643E-02   5.28449E+04  -2.07348E+04
   2.01633E-02   5.28446E+04  -2.07348E+04
   2.01623E-02   5.28443E+04  -2.07348E+04
   2.01613E-02   5.28441E+04  -2.07348E+04
   2.01603E-02   5.28438E+04  -2.07348E+04
   2.01593E-02   5.28435E+04  -2.07348E+04
   2.01583E-02   5.28433E+04  -2.07348E+04
   2.01573E-02   5.28430E+04  -2.07348E+04
   2.01563E-02   5.28427E+04  -2.07348E+04
   2.01553E-02   5.28424E+04  -2.07347E+04
   2.01543E-02   5.28422E+04  -2.07347E+04
   2.01533E-02   5.28419E+04  -2.07347E+04
   2.01523E-02   5.28416E+04  -2.07347E+04
   2.01513E-02   5.28414E+04  -2.07347E+04
   2.01503E-02   5.28411E+04  -2.07347E+04
   2.01493E-02   5.28408E+04  -2.07347E+04
   2.01483E-02   5.28405E+04  -2.07347E+04
   2.01473E-02   5.28403E+04  -2.07347E+04
   2.01463E-02   5.28400E+04  -2.07347E+04
   2.01453E-02   5.28397E+04  -2.07347E+04
   2.01443E-02   5.28395E+04  -2.07347E+04
   2.01433E-02   5.28392E+04  -2.07347E+04
   2.01423E-02   5.28389E+04  -2.07347E+04
   2.01413E-02   5.28386E+04  -2.07347E+04
   2.01403E-02   5.28384E+04  -2.07347E+04
   2.01393E-02   5.28381E+04  -2.07347E+04
   2.01383E-02   5.28378E+04  -2.07347E+04
   2.01373E-02   5.28376E+04  -2.07346E+04
   2.01363E-02   5.28373E+04  -2.07346E+04
   2.01353E-02   5.28370E+04  -2.07346E+04
   2.01343E-02   5.28367E+04  -2.07346E+04
   2.01333E-02   5.28365E+04  -2.07346E+04
   2.01323E-02   5.28362E+04  -2.07346E+04
   2.01313E-02   5.28359E+04  -2.07346E+04
   2.01303E-02   5.28357E+04  -2.07346E+04
   2.01293E-02   5.28354E+04  -2.07346E+04
   2.01283E-02   5.28351E+04  -2.07346E+04
   2.01273E-02   5.28348E+04  -2.07346E+04
   2.01263E-02   5.28346E+04  -2.07346E+04
   2.01253E-02   5.28343E+04  -2.07346E+04
   2.01243E-02   5.28340E+04  -2.07346E+04
   2.01233E-02   5.28338E+04  -2.07346E+04
   2.01223E-02   5.28335E+04  -2.07346E+04
   2.01213E-02   5.28332E+04  -2.07346E+04
   2.01203E-02   5.28329E+04  -2.07346E+04
   2.01193E-02   5.28327E+04  -2.07345E+04
   2.01183E-02   5.28324E+04  -2.07345E+04
   2.01173E-02   5.28321E+04  -2.07345E+04
   2.01163E-02   5.28319E+04  -2.07345E+04
   2.01153E-02   5.28316E+04  -2.07345E+04
   2.01143E-02   5.28313E+04  -2.07345E+04
   2.01133E-02   5.28310E+04  -2.07345E+04
   2.01123E-02   5.28308E+04  -2.07345E+04
   2.01113E-02   5.28305E+04  -2.07345E+04
   2.01103E-02   5.28302E+04  -2.07345E+04
   2.01093E-02   5.28300E+04  -2.07345E+04
   2.01083E-02   5.28297E+04  -2.07345E+04
   2.01073E-02   5.28294E+04  -2.07345E+04
   2.01063E-02   5.28291E+04  -2.07345E+04
   2.01053E-02   5.28289E+04  -2.07345E+04
   2.01043E-02   5.28286E+04  -2.07345E+04
   2.01033E-02   5.28283E+04  -2.07345E+04
   2.01023E-02   5.28281E+04  -2.07345E+04
   2.01013E-02   5.28278E+04  -2.07344E+04
   2.01003E-02   5.28275E+04  -2.07344E+04
   2.00993E-02   5.28272E+04  -2.07344E+04
   2.00983E-02   5.28270E+04  -2.07344E+04
   2.00973E-02   5.28267E+04  -2.07344E+04
   2.00963E-02   5.28264E+04  -2.07344E+04
   2.00953E-02   5.28261E+04  -2.07344E+04
   2.00943E-02   5.28259E+04  -2.07344E+04
   2.00933E-02   5.28256E+04  -2.07344E+04
   2.00923E-02   5.28253E+04  -2.07344E+04
   2.00913E-02   5.28251E+04  -2.07344E+04
   2.00903E-02   5.28248E+04  -2.07344E+04
   2.00893E-02   5.28245E+04  -2.07344E+04
   2.00883E-02   5.28242E+04  -2.07344E+04
   2.00873E-02   5.28240E+04  -2.07344E+04
   2.00863E-02   5.28237E+04  -2.07344E+04
   2.00853E-02   5.28234E+04  -2.07344E+04
   2.00843E-02   5.28232E+04  -2.07344E+04
   2.00833E-02   5.28229E+04  -2.07343E+04
   2.00823E-02   5.28226E+04  -2.07343E+04
   2.00813E-02   5.28223E+04  -2.07343E+04
   2.00803E-02   5.28221E+04  -2.07343E+04
   2.00793E-02   5.28218E+04  -2.07343E+04
   2.00783E-02   5.28215E+04  -2.07343E+04
   2.00773E-02   5.28212E+04  -2.07343E+04
   2.00763E-02   5.28210E+04  -2.07343E+04
   2.00753E-02   5.28207E+04  -2.07343E+04
   2.00743E-02   5.28204E+04  -2.07343E+04
   2.00733E-02   5.28202E+04  -2.07343E+04
   2.00723E-02   5.28199E+04  -2.07343E+04
   2.00713E-02   5.28196E+04  -2.07343E+04
   2.00703E-02   5.28193E+04  -2.07343E+04
   2.00693E-02   5.28191E+04  -2.07343E+04
   2.00683E-02   5.28188E+04  -2.07343E+04
   2.00673E-02   5.28185E+04  -2.07343E+04
   2.00663E-02   5.28183E+04  -2.07343E+04
   2.00653E-02   5.28180E+04  -2.07342E+04
   2.00643E-02   5.28177E+04  -2.07342E+04
   2.00633E-02   5.28174E+04  -2.07342E+04
   2.00623E-02   5.28172E+04  -2.07342E+04
   2.00613E-02   5.28169E+04  -2.07342E+04
   2.00603E-02   5.28166E+04  -2.07342E+04
   2.00593E-02   5.28163E+04  -2.07342E+04
   2.00583E-02   5.28161E+04  -2.07342E+04
   2.00573E-02   5.28158E+04  -2.07342E+04
   2.00563E-02   5.28155E+04  -2.07342E+04
   2.00553E-02   5.28153E+04  -2.07342E+04
   2.00543E-02   5.28150E+04  -2.07342E+04
   2.00533E-02   5.28147E+04  -2.07342E+04
   2.00523E-02   5.28144E+04  -2.07342E+04
   2.00513E-02   5.28142E+04  -2.07342E+04
   2.00503E-02   5.28139E+04  -2.07342E+04
   2.00493E-02   5.28136E+04  -2.07342E+04
   2.00483E-02   5.28133E+04  -2.07342E+04
   2.00473E-02   5.28131E+04  -2.07341E+04
   2.00463E-02   5.28128E+04  -2.07341E+04
   2.00453E-02   5.28125E+04  -2.07341E+04
   2.00443E-02   5.28123E+04  -2.07341E+04
   2.00433E-02   5.28120E+04  -2.07341E+04
   2.00423E-02   5.28117E+04  -2.07341E+04
   2.00413E-02   5.28114E+04  -2.07341E+04
   2.00403E-02   5.28112E+04  -2.07341E+04
   2.00393E-02   5.28109E+04  -2.07341E+04
   2.00383E-02   5.28106E+04  -2.07341E+04
   2.00373E-02   5.28103E+04  -2.07341E+04
   2.00363E-02   5.28101E+04  -2.07341E+04
   2.00353E-02   5.28098E+04  -2.07341E+04
   2.00343E-02   5.28095E+04  -2.07341E+04
   2.00333E-02   5.28093E+04  -2.07341E+04
   2.00323E-02   5.28090E+04  -2.07341E+04
   2.00313E-02   5.28087E+04  -2.07341E+04
   2.00303E-02   5.28084E+04  -2.07341E+04
   2.00293E-02   5.28082E+04  -2.07340E+04
   2.00283E-02   5.28079E+04  -2.07340E+04
   2.00273E-02   5.28076E+04  -2.07340E+04
   2.00263E-02   5.28073E+04  -2.07340E+04
   2.00253E-02   5.28071E+04  -2.07340E+04
   2.00243E-02   5.28068E+04  -2.07340E+04
   2.00233E-02   5.28065E+04  -2.07340E+04
   2.00223E-02   5.28063E+04  -2.07340E+04
   2.00213E-02   5.28060E+04  -2.07340E+04
   2.00203E-02   5.28057E+04  -2.07340E+04
   2.00193E-02   5.28054E+04  -2.07340E+04
   2.00183E-02   5.28052E+04  -2.07340E+04
   2.00173E-02   5.28049E+04  -2.07340E+04
   2.00163E-02   5.28046E+04  -2.07340E+04
   2.00153E-02   5.28043E+04  -2.07340E+04
   2.00143E-02   5.28041E+04  -2.07340E+04
   2.00133E-02   5.28038E+04  -2.07340E+04
   2.00123E-02   5.28035E+04  -2.07339E+04
   2.00113E-02   5.28033E+04  -2.07339E+04
   2.00103E-02   5.28030E+04  -2.07339E+04
   2.00093E-02   5.28027E+04  -2.07339E+04
   2.00083E-02   5.28024E+04  -2.07339E+04
   2.00073E-02   5.28022E+04  -2.07339E+04
   2.00063E-02   5.28019E+04  -2.07339E+04
   2.00053E-02   5.28016E+04  -2.07339E+04
   2.00043E-02   5.28013E+04  -2.07339E+04
   2.00033E-02   5.28011E+04  -2.07339E+04
   2.00023E-02   5.28008E+04  -2.07339E+04
   2.00013E-02   5.28005E+04  -2.07339E+04
   2.00003E-02   5.28002E+04  -2.07339E+04
   1.99993E-02   5.28000E+04  -2.07339E+04
   1.99983E-02   5.27997E+04  -2.07339E+04
   1.99973E-02   5.27994E+04  -2.07339E+04
   1.99963E-02   5.27992E+04  -2.07339E+04
   1.99953E-02   5.27989E+04  -2.07339E+04
   1.99943E-02   5.27986E+04  -2.07338E+04
   1.99933E-02   5.27983E+04  -2.07338E+04
   1.99923E-02   5.27981E+04  -2.07338E+04
   1.99913E-02   5.27978E+04  -2.07338E+04
   1.99903E-02   5.27975E+04  -2.07338E+04
   1.99893E-02   5.27972E+04  -2.07338E+04
   1.99883E-02   5.27970E+04  -2.07338E+04
   1.99873E-02   5.27967E+04  -2.07338E+04
   1.99863E-02   5.27964E+04  -2.07338E+04
   1.99853E-02   5.27961E+04  -2.07338E+04
   1.99843E-02   5.27959E+04  -2.07338E+04
   1.99833E-02   5.27956E+04  -2.07338E+04
   1.99823E-02   5.27953E+04  -2.07338E+04
   1.99813E-02   5.27951E+04  -2.07338E+04
   1.99803E-02   5.27948E+04  -2.07338E+04
   1.99793E-02   5.27945E+04  -2.07338E+04
   1.99783E-02   5.27942E+04  -2.07338E+04
   1.99773E-02   5.27940E+04  -2.07338E+04
   1.99763E-02   5.27937E+04  -2.07337E+04
   1.99753E-02   5.27934E+04  -2.07337E+04
   1.99743E-02   5.27931E+04  -2.07337E+04
   1.99733E-02   5.27929E+04  -2.07337E+04
   1.99723E-02   5.27926E+04  -2.07337E+04
   1.99713E-02   5.27923E+04  -2.07337E+04
   1.99703E-02   5.27920E+04  -2.07337E+04
   1.99693E-02   5.27918E+04  -2.07337E+04
   1.99683E-02   5.27915E+04  -2.07337E+04
   1.99673E-02   5.27912E+04  -2.07337E+04
   1.99663E-02   5.27909E+04  -2.07337E+04
   1.99653E-02   5.27907E+04  -2.07337E+04
   1.99643E-02   5.27904E+04  -2.07337E+04
   1.99633E-02   5.27901E+04  -2.07337E+04
   1.99623E-02   5.27899E+04  -2.07337E+04
   1.99613E-02   5.27896E+04  -2.07337E+04
   1.99603E-02   5.27893E+04  -2.07337E+04
   1.99593E-02   5.27890E+04  -2.07337E+04
   1.99583E-02   5.27888E+04  -2.07336E+04
   1.99573E-02   5.27885E+04  -2.07336E+04
   1.99563E-02   5.27882E+04  -2.07336E+04
   1.99553E-02   5.27879E+04  -2.07336E+04
   1.99543E-02   5.27877E+04  -2.07336E+04
   1.99533E-02   5.27874E+04  -2.07336E+04
   1.99523E-02   5.27871E+04  -2.07336E+04
   1.99513E-02   5.27868E+04  -2.07336E+04
   1.99503E-02   5.27866E+04  -2.07336E+04
   1.99493E-02   5.27863E+04  -2.07336E+04
   1.99483E-02   5.27860E+04  -2.07336E+04
   1.99473E-02   5.27857E+04  -2.07336E+04
   1.99463E-02   5.27855E+04  -2.07336E+04
   1.99453E-02   5.27852E+04  -2.07336E+04
   1.99443E-02   5.27849E+04  -2.07336E+04
   1.99433E-02   5.27846E+04  -2.07336E+04
   1.99423E-02   5.27844E+04  -2.07336E+04
   1.99413E-02   5.27841E+04  -2.07336E+04
   1.99403E-02   5.27838E+04  -2.07335E+04
   1.99393E-02   5.27836E+04  -2.07335E+04
   1.99383E-02   5.27833E+04  -2.07335E+04
   1.99373E-02   5.27830E+04  -2.07335E+04
   1.99363E-02   5.27827E+04  -2.07335E+04
   1.99353E-02   5.27825E+04  -2.07335E+04
   1.99343E-02   5.27822E+04  -2.07335E+04
   1.99333E-02   5.27819E+04  -2.07335E+04
   1.99323E-02   5.27816E+04  -2.07335E+04
   1.99313E-02   5.27814E+04  -2.07335E+04
   1.99303E-02   5.27811E+04  -2.07335E+04
   1.99293E-02   5.27808E+04  -2.07335E+04
   1.99283E-02   5.27805E+04  -2.07335E+04
   1.99273E-02   5.27803E+04  -2.07335E+04
   1.99263E-02   5.27800E+04  -2.07335E+04
   1.99253E-02   5.27797E+04  -2.07335E+04
   1.99243E-02   5.27794E+04  -2.07335E+04
   1.99233E-02   5.27792E+04  -2.07335E+04
   1.99223E-02   5.27789E+04  -2.07334E+04
   1.99213E-02   5.27786E+04  -2.07334E+04
   1.99203E-02   5.27783E+04  -2.07334E+04
   1.99193E-02   5.27781E+04  -2.07334E+04
   1.99183E-02   5.27778E+04  -2.07334E+04
   1.99173E-02   5.27775E+04  -2.07334E+04
   1.99163E-02   5.27772E+04  -2.07334E+04
   1.99153E-02   5.27770E+04  -2.07334E+04
   1.99143E-02   5.27767E+04  -2.07334E+04
   1.99133E-02   5.27764E+04  -2.07334E+04
   1.99123E-02   5.27761E+04  -2.07334E+04
   1.99113E-02   5.27759E+04  -2.07334E+04
   1.99103E-02   5.27756E+04  -2.07334E+04
   1.99093E-02   5.27753E+04  -2.07334E+04
   1.99083E-02   5.27751E+04  -2.07334E+04
   1.99073E-02   5.27748E+04  -2.07334E+04
   1.99063E-02   5.27745E+04  -2.07334E+04
   1.99053E-02   5.27742E+04  -2.07334E+04
   1.99043E-02   5.27740E+04  -2.07333E+04
   1.99033E-02   5.27737E+04  -2.07333E+04
   1.99023E-02   5.27734E+04  -2.07333E+04
   1.99013E-02   5.27731E+04  -2.07333E+04
   1.99003E-02   5.27729E+04  -2.07333E+04
   1.98993E-02   5.27726E+04  -2.07333E+04
   1.98983E-02   5.27723E+04  -2.07333E+04
   1.98973E-02   5.27720E+04  -2.07333E+04
   1.98963E-02   5.27718E+04  -2.07333E+04
   1.98953E-02   5.27715E+04  -2.07333E+04
   1.98943E-02   5.27712E+04  -2.07333E+04
   1.98933E-02   5.27709E+04  -2.07333E+04
   1.98923E-02   5.27707E+04  -2.07333E+04
   1.98913E-02   5.27704E+04  -2.07333E+04
   1.98903E-02   5.27701E+04  -2.07333E+04
   1.98893E-02   5.27698E+04  -2.07333E+04
   1.98883E-02   5.27696E+04  -2.07333E+04
   1.98873E-02   5.27693E+04  -2.07333E+04
   1.98863E-02   5.27690E+04  -2.07332E+04
   1.98853E-02   5.27687E+04  -2.07332E+04
   1.98843E-02   5.27685E+04  -2.07332E+04
   1.98833E-02   5.27682E+04  -2.07332E+04
   1.98823E-02   5.27679E+04  -2.07332E+04
   1.98813E-02   5.27676E+04  -2.07332E+04
   1.98803E-02   5.27674E+04  -2.07332E+04
   1.98793E-02   5.27671E+04  -2.07332E+04
   1.98783E-02   5.27668E+04  -2.07332E+04
   1.98773E-02   5.27665E+04  -2.07332E+04
   1.98763E-02   5.27663E+04  -2.07332E+04
   1.98753E-02   5.27660E+04  -2.07332E+04
   1.98743E-02   5.27657E+04  -2.07332E+04
   1.98733E-02   5.27654E+04  -2.07332E+04
   1.98723E-02   5.27652E+04  -2.07332E+04
   1.98713E-02   5.27649E+04  -2.07332E+04
   1.98703E-02   5.27646E+04  -2.07332E+04
   1.98693E-02   5.27643E+04  -2.07332E+04
   1.98683E-02   5.27641E+04  -2.07331E+04
   1.98673E-02   5.27638E+04  -2.07331E+04
   1.98663E-02   5.27635E+04  -2.07331E+04
   1.98653E-02   5.27632E+04  -2.07331E+04
   1.98643E-02   5.27630E+04  -2.07331E+04
   1.98633E-02   5.27627E+04  -2.07331E+04
   1.98623E-02   5.27624E+04  -2.07331E+04
   1.98613E-02   5.27621E+04  -2.07331E+04
   1.98603E-02   5.27619E+04  -2.07331E+04
   1.98593E-02   5.27616E+04  -2.07331E+04
   1.98583E-02   5.27613E+04  -2.07331E+04
   1.98573E-02   5.27610E+04  -2.07331E+04
   1.98563E-02   5.27608E+04  -2.07331E+04
   1.98553E-02   5.27605E+04  -2.07331E+04
