
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.48259E+04  -2.07841E+04
   9.99999E-03   4.90680E+04  -2.06791E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.87533E-02   5.48063E+04  -2.07835E+04
   2.87523E-02   5.48061E+04  -2.07835E+04
   2.87513E-02   5.48059E+04  -2.07835E+04
   2.87503E-02   5.48057E+04  -2.07835E+04
   2.87493E-02   5.48055E+04  -2.07835E+04
   2.87483E-02   5.48053E+04  -2.07835E+04
   2.87473E-02   5.48051E+04  -2.07835E+04
   2.87463E-02   5.48049E+04  -2.07835E+04
   2.87453E-02   5.48047E+04  -2.07835E+04
   2.87443E-02   5.48046E+04  -2.07834E+04
   2.87433E-02   5.48044E+04  -2.07834E+04
   2.87423E-02   5.48042E+04  -2.07834E+04
   2.87413E-02   5.48040E+04  -2.07834E+04
   2.87403E-02   5.48038E+04  -2.07834E+04
   2.87393E-02   5.48036E+04  -2.07834E+04
   2.87383E-02   5.48034E+04  -2.07834E+04
   2.87373E-02   5.48032E+04  -2.07834E+04
   2.87363E-02   5.48030E+04  -2.07834E+04
   2.87353E-02   5.48028E+04  -2.07834E+04
   2.87343E-02   5.48026E+04  -2.07834E+04
   2.87333E-02   5.48024E+04  -2.07834E+04
   2.87323E-02   5.48022E+04  -2.07834E+04
   2.87313E-02   5.48020E+04  -2.07834E+04
   2.87303E-02   5.48018E+04  -2.07834E+04
   2.87293E-02   5.48016E+04  -2.07834E+04
   2.87283E-02   5.48014E+04  -2.07834E+04
   2.87273E-02   5.48012E+04  -2.07833E+04
   2.87263E-02   5.48010E+04  -2.07833E+04
   2.87253E-02   5.48009E+04  -2.07833E+04
   2.87243E-02   5.48007E+04  -2.07833E+04
   2.87233E-02   5.48005E+04  -2.07833E+04
   2.87223E-02   5.48003E+04  -2.07833E+04
   2.87213E-02   5.48001E+04  -2.07833E+04
   2.87203E-02   5.47999E+04  -2.07833E+04
   2.87193E-02   5.47997E+04  -2.07833E+04
   2.87183E-02   5.47995E+04  -2.07833E+04
   2.87173E-02   5.47993E+04  -2.07833E+04
   2.87163E-02   5.47991E+04  -2.07833E+04
   2.87153E-02   5.47989E+04  -2.07833E+04
   2.87143E-02   5.47987E+04  -2.07833E+04
   2.87133E-02   5.47985E+04  -2.07833E+04
   2.87123E-02   5.47983E+04  -2.07833E+04
   2.87113E-02   5.47981E+04  -2.07833E+04
   2.87103E-02   5.47979E+04  -2.07833E+04
   2.87093E-02   5.47977E+04  -2.07832E+04
   2.87083E-02   5.47975E+04  -2.07832E+04
   2.87073E-02   5.47973E+04  -2.07832E+04
   2.87063E-02   5.47972E+04  -2.07832E+04
   2.87053E-02   5.47970E+04  -2.07832E+04
   2.87043E-02   5.47968E+04  -2.07832E+04
   2.87033E-02   5.47966E+04  -2.07832E+04
   2.87023E-02   5.47964E+04  -2.07832E+04
   2.87013E-02   5.47962E+04  -2.07832E+04
   2.87003E-02   5.47960E+04  -2.07832E+04
   2.86993E-02   5.47958E+04  -2.07832E+04
   2.86983E-02   5.47956E+04  -2.07832E+04
   2.86973E-02   5.47954E+04  -2.07832E+04
   2.86963E-02   5.47952E+04  -2.07832E+04
   2.86953E-02   5.47950E+04  -2.07832E+04
   2.86943E-02   5.47948E+04  -2.07832E+04
   2.86933E-02   5.47946E+04  -2.07832E+04
   2.86923E-02   5.47944E+04  -2.07831E+04
   2.86913E-02   5.47942E+04  -2.07831E+04
   2.86903E-02   5.47940E+04  -2.07831E+04
   2.86893E-02   5.47938E+04  -2.07831E+04
   2.86883E-02   5.47936E+04  -2.07831E+04
   2.86873E-02   5.47934E+04  -2.07831E+04
   2.86863E-02   5.47933E+04  -2.07831E+04
   2.86853E-02   5.47931E+04  -2.07831E+04
   2.86843E-02   5.47929E+04  -2.07831E+04
   2.86833E-02   5.47927E+04  -2.07831E+04
   2.86823E-02   5.47925E+04  -2.07831E+04
   2.86813E-02   5.47923E+04  -2.07831E+04
   2.86803E-02   5.47921E+04  -2.07831E+04
   2.86793E-02   5.47919E+04  -2.07831E+04
   2.86783E-02   5.47917E+04  -2.07831E+04
   2.86773E-02   5.47915E+04  -2.07831E+04
   2.86763E-02   5.47913E+04  -2.07831E+04
   2.86753E-02   5.47911E+04  -2.07830E+04
   2.86743E-02   5.47909E+04  -2.07830E+04
   2.86733E-02   5.47907E+04  -2.07830E+04
   2.86723E-02   5.47905E+04  -2.07830E+04
   2.86713E-02   5.47903E+04  -2.07830E+04
   2.86703E-02   5.47901E+04  -2.07830E+04
   2.86693E-02   5.47899E+04  -2.07830E+04
   2.86683E-02   5.47897E+04  -2.07830E+04
   2.86673E-02   5.47895E+04  -2.07830E+04
   2.86663E-02   5.47894E+04  -2.07830E+04
   2.86653E-02   5.47892E+04  -2.07830E+04
   2.86643E-02   5.47890E+04  -2.07830E+04
   2.86633E-02   5.47888E+04  -2.07830E+04
   2.86623E-02   5.47886E+04  -2.07830E+04
   2.86613E-02   5.47884E+04  -2.07830E+04
   2.86603E-02   5.47882E+04  -2.07830E+04
   2.86593E-02   5.47880E+04  -2.07830E+04
   2.86583E-02   5.47878E+04  -2.07830E+04
   2.86573E-02   5.47876E+04  -2.07829E+04
   2.86563E-02   5.47874E+04  -2.07829E+04
   2.86553E-02   5.47872E+04  -2.07829E+04
   2.86543E-02   5.47870E+04  -2.07829E+04
   2.86533E-02   5.47868E+04  -2.07829E+04
   2.86523E-02   5.47866E+04  -2.07829E+04
   2.86513E-02   5.47864E+04  -2.07829E+04
   2.86503E-02   5.47862E+04  -2.07829E+04
   2.86493E-02   5.47860E+04  -2.07829E+04
   2.86483E-02   5.47858E+04  -2.07829E+04
   2.86473E-02   5.47856E+04  -2.07829E+04
   2.86463E-02   5.47854E+04  -2.07829E+04
   2.86453E-02   5.47853E+04  -2.07829E+04
   2.86443E-02   5.47851E+04  -2.07829E+04
   2.86433E-02   5.47849E+04  -2.07829E+04
   2.86423E-02   5.47847E+04  -2.07829E+04
   2.86413E-02   5.47845E+04  -2.07829E+04
   2.86403E-02   5.47843E+04  -2.07828E+04
   2.86393E-02   5.47841E+04  -2.07828E+04
   2.86383E-02   5.47839E+04  -2.07828E+04
   2.86373E-02   5.47837E+04  -2.07828E+04
   2.86363E-02   5.47835E+04  -2.07828E+04
   2.86353E-02   5.47833E+04  -2.07828E+04
   2.86343E-02   5.47831E+04  -2.07828E+04
   2.86333E-02   5.47829E+04  -2.07828E+04
   2.86323E-02   5.47827E+04  -2.07828E+04
   2.86313E-02   5.47825E+04  -2.07828E+04
   2.86303E-02   5.47823E+04  -2.07828E+04
   2.86293E-02   5.47821E+04  -2.07828E+04
   2.86283E-02   5.47819E+04  -2.07828E+04
   2.86273E-02   5.47817E+04  -2.07828E+04
   2.86263E-02   5.47815E+04  -2.07828E+04
   2.86253E-02   5.47813E+04  -2.07828E+04
   2.86243E-02   5.47811E+04  -2.07828E+04
   2.86233E-02   5.47810E+04  -2.07828E+04
   2.86223E-02   5.47808E+04  -2.07827E+04
   2.86213E-02   5.47806E+04  -2.07827E+04
   2.86203E-02   5.47804E+04  -2.07827E+04
   2.86193E-02   5.47802E+04  -2.07827E+04
   2.86183E-02   5.47800E+04  -2.07827E+04
   2.86173E-02   5.47798E+04  -2.07827E+04
   2.86163E-02   5.47796E+04  -2.07827E+04
   2.86153E-02   5.47794E+04  -2.07827E+04
   2.86143E-02   5.47792E+04  -2.07827E+04
   2.86133E-02   5.47790E+04  -2.07827E+04
   2.86123E-02   5.47788E+04  -2.07827E+04
   2.86113E-02   5.47786E+04  -2.07827E+04
   2.86103E-02   5.47784E+04  -2.07827E+04
   2.86093E-02   5.47782E+04  -2.07827E+04
