
 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.25758E+04  -2.20070E+04
   9.99999E-03   4.65606E+04  -2.18974E+04

 Phase Region for:
     BCC_A2                        
 col-1=X(C), col-2=MU(C), col-3=MU(FE),
   2.88543E-02   5.25758E+04  -2.20070E+04
   2.88533E-02   5.25756E+04  -2.20070E+04
   2.88523E-02   5.25754E+04  -2.20070E+04
   2.88513E-02   5.25752E+04  -2.20070E+04
   2.88503E-02   5.25750E+04  -2.20070E+04
   2.88493E-02   5.25748E+04  -2.20070E+04
   2.88483E-02   5.25746E+04  -2.20070E+04
   2.88473E-02   5.25744E+04  -2.20070E+04
   2.88463E-02   5.25742E+04  -2.20070E+04
   2.88453E-02   5.25739E+04  -2.20070E+04
   2.88443E-02   5.25737E+04  -2.20070E+04
   2.88433E-02   5.25735E+04  -2.20070E+04
   2.88423E-02   5.25733E+04  -2.20070E+04
   2.88413E-02   5.25731E+04  -2.20070E+04
   2.88403E-02   5.25729E+04  -2.20069E+04
   2.88393E-02   5.25727E+04  -2.20069E+04
   2.88383E-02   5.25725E+04  -2.20069E+04
   2.88373E-02   5.25723E+04  -2.20069E+04
   2.88363E-02   5.25721E+04  -2.20069E+04
   2.88353E-02   5.25719E+04  -2.20069E+04
   2.88343E-02   5.25717E+04  -2.20069E+04
   2.88333E-02   5.25715E+04  -2.20069E+04
   2.88323E-02   5.25713E+04  -2.20069E+04
   2.88313E-02   5.25711E+04  -2.20069E+04
   2.88303E-02   5.25709E+04  -2.20069E+04
   2.88293E-02   5.25707E+04  -2.20069E+04
   2.88283E-02   5.25705E+04  -2.20069E+04
   2.88273E-02   5.25703E+04  -2.20069E+04
   2.88263E-02   5.25701E+04  -2.20069E+04
   2.88253E-02   5.25699E+04  -2.20069E+04
   2.88243E-02   5.25697E+04  -2.20069E+04
   2.88233E-02   5.25695E+04  -2.20068E+04
   2.88223E-02   5.25693E+04  -2.20068E+04
   2.88213E-02   5.25691E+04  -2.20068E+04
   2.88203E-02   5.25689E+04  -2.20068E+04
   2.88193E-02   5.25687E+04  -2.20068E+04
   2.88183E-02   5.25685E+04  -2.20068E+04
   2.88173E-02   5.25683E+04  -2.20068E+04
   2.88163E-02   5.25681E+04  -2.20068E+04
   2.88153E-02   5.25678E+04  -2.20068E+04
   2.88143E-02   5.25676E+04  -2.20068E+04
   2.88133E-02   5.25674E+04  -2.20068E+04
   2.88123E-02   5.25672E+04  -2.20068E+04
   2.88113E-02   5.25670E+04  -2.20068E+04
   2.88103E-02   5.25668E+04  -2.20068E+04
   2.88093E-02   5.25666E+04  -2.20068E+04
   2.88083E-02   5.25664E+04  -2.20068E+04
   2.88073E-02   5.25662E+04  -2.20067E+04
   2.88063E-02   5.25660E+04  -2.20067E+04
   2.88053E-02   5.25658E+04  -2.20067E+04
   2.88043E-02   5.25656E+04  -2.20067E+04
   2.88033E-02   5.25654E+04  -2.20067E+04
   2.88023E-02   5.25652E+04  -2.20067E+04
   2.88013E-02   5.25650E+04  -2.20067E+04
   2.88003E-02   5.25648E+04  -2.20067E+04
   2.87993E-02   5.25646E+04  -2.20067E+04
   2.87983E-02   5.25644E+04  -2.20067E+04
   2.87973E-02   5.25642E+04  -2.20067E+04
   2.87963E-02   5.25640E+04  -2.20067E+04
   2.87953E-02   5.25638E+04  -2.20067E+04
   2.87943E-02   5.25636E+04  -2.20067E+04
   2.87933E-02   5.25634E+04  -2.20067E+04
   2.87923E-02   5.25632E+04  -2.20067E+04
   2.87913E-02   5.25630E+04  -2.20067E+04
   2.87903E-02   5.25628E+04  -2.20066E+04
   2.87893E-02   5.25626E+04  -2.20066E+04
   2.87883E-02   5.25624E+04  -2.20066E+04
   2.87873E-02   5.25621E+04  -2.20066E+04
   2.87863E-02   5.25619E+04  -2.20066E+04
   2.87853E-02   5.25617E+04  -2.20066E+04
   2.87843E-02   5.25615E+04  -2.20066E+04
   2.87833E-02   5.25613E+04  -2.20066E+04
   2.87823E-02   5.25611E+04  -2.20066E+04
   2.87813E-02   5.25609E+04  -2.20066E+04
   2.87803E-02   5.25607E+04  -2.20066E+04
   2.87793E-02   5.25605E+04  -2.20066E+04
   2.87783E-02   5.25603E+04  -2.20066E+04
   2.87773E-02   5.25601E+04  -2.20066E+04
   2.87763E-02   5.25599E+04  -2.20066E+04
   2.87753E-02   5.25597E+04  -2.20066E+04
   2.87743E-02   5.25595E+04  -2.20066E+04
   2.87733E-02   5.25593E+04  -2.20065E+04
   2.87723E-02   5.25591E+04  -2.20065E+04
   2.87713E-02   5.25589E+04  -2.20065E+04
   2.87703E-02   5.25587E+04  -2.20065E+04
   2.87693E-02   5.25585E+04  -2.20065E+04
   2.87683E-02   5.25583E+04  -2.20065E+04
   2.87673E-02   5.25581E+04  -2.20065E+04
   2.87663E-02   5.25579E+04  -2.20065E+04
   2.87653E-02   5.25577E+04  -2.20065E+04
   2.87643E-02   5.25575E+04  -2.20065E+04
   2.87633E-02   5.25573E+04  -2.20065E+04
   2.87623E-02   5.25571E+04  -2.20065E+04
   2.87613E-02   5.25569E+04  -2.20065E+04
   2.87603E-02   5.25566E+04  -2.20065E+04
   2.87593E-02   5.25564E+04  -2.20065E+04
   2.87583E-02   5.25562E+04  -2.20065E+04
   2.87573E-02   5.25560E+04  -2.20064E+04
   2.87563E-02   5.25558E+04  -2.20064E+04
   2.87553E-02   5.25556E+04  -2.20064E+04
   2.87543E-02   5.25554E+04  -2.20064E+04
   2.87533E-02   5.25552E+04  -2.20064E+04
   2.87523E-02   5.25550E+04  -2.20064E+04
   2.87513E-02   5.25548E+04  -2.20064E+04
   2.87503E-02   5.25546E+04  -2.20064E+04
   2.87493E-02   5.25544E+04  -2.20064E+04
   2.87483E-02   5.25542E+04  -2.20064E+04
   2.87473E-02   5.25540E+04  -2.20064E+04
   2.87463E-02   5.25538E+04  -2.20064E+04
   2.87453E-02   5.25536E+04  -2.20064E+04
   2.87443E-02   5.25534E+04  -2.20064E+04
   2.87433E-02   5.25532E+04  -2.20064E+04
   2.87423E-02   5.25530E+04  -2.20064E+04
   2.87413E-02   5.25528E+04  -2.20064E+04
   2.87403E-02   5.25526E+04  -2.20063E+04
