
 Phase Region for:
     FCC_A1                        
 col-1=X(C), col-2=X(FE), col-3=MU(C), col-4=MU(FE),
   2.90688E-01   7.09312E-01   5.40513E+04  -2.65252E+04
   2.93450E-01   7.06550E-01   5.45513E+04  -2.67315E+04
   2.96197E-01   7.03803E-01   5.50520E+04  -2.69408E+04
   2.98928E-01   7.01072E-01   5.55533E+04  -2.71531E+04
   3.01644E-01   6.98356E-01   5.60553E+04  -2.73686E+04
   3.04345E-01   6.95655E-01   5.65580E+04  -2.75871E+04
   3.07031E-01   6.92969E-01   5.70615E+04  -2.78088E+04
   3.09703E-01   6.90297E-01   5.75659E+04  -2.80337E+04
   3.12359E-01   6.87641E-01   5.80710E+04  -2.82617E+04
   3.15001E-01   6.84999E-01   5.85770E+04  -2.84930E+04
   3.17628E-01   6.82372E-01   5.90840E+04  -2.87275E+04
   3.20241E-01   6.79759E-01   5.95918E+04  -2.89654E+04
   3.22840E-01   6.77160E-01   6.01006E+04  -2.92065E+04
   3.25425E-01   6.74575E-01   6.06105E+04  -2.94510E+04
   3.27996E-01   6.72004E-01   6.11213E+04  -2.96989E+04
   3.30552E-01   6.69448E-01   6.16332E+04  -2.99502E+04
   3.33095E-01   6.66905E-01   6.21462E+04  -3.02050E+04
   3.35625E-01   6.64375E-01   6.26604E+04  -3.04633E+04
   3.38140E-01   6.61860E-01   6.31757E+04  -3.07251E+04
   3.40643E-01   6.59357E-01   6.36923E+04  -3.09904E+04

 Phase Region for:
     FCC_A1                        
 col-1=X(C), col-2=X(FE), col-3=MU(C), col-4=MU(FE),
   4.63275E-03   9.95367E-01   4.76084E+01  -1.79949E+04
   4.64965E-08   1.00000E+00  -5.99551E+04  -1.79700E+04
